Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
37938327,University of Nike: How Corporate Cash Bought American Higher Education,Joshua Hunt,"Hunt, Joshua",,"=""""","=""""",3,3.82,Melville House,Kindle Edition,301,2018,2018,2019/01/15,2018/11/18,non-fiction,non-fiction (#48),read,,,,1,,,0,,,,,
28512671,"Everybody Lies: Big Data, New Data, and What the Internet Can Tell Us About Who We Really Are",Seth Stephens-Davidowitz,"Stephens-Davidowitz, Seth",Steven Pinker,"=""0062390856""","=""9780062390851""",5,3.91,Dey Street Books,Hardcover,338,2017,2017,2017/05/30,2017/05/31,non-fiction,non-fiction (#44),read,,,,1,,,0,,,,,
28186015,Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,Cathy O'Neil,"O'Neil, Cathy",,"=""0553418815""","=""9780553418811""",2,3.87,Crown,Hardcover,259,2016,2016,2016/11/21,2016/11/27,non-fiction,non-fiction (#41),read,,,,1,,,0,,,,,
2082136,Bonk: The Curious Coupling of Science and Sex,Mary Roach,"Roach, Mary",,"=""0393064646""","=""9780393064643""",4,3.84,W. W. Norton  Company,Hardcover,319,2008,2008,2016/04/08,2016/04/08,non-fiction,non-fiction (#37),read,,,,1,,,0,,,,,
23453112,Modern Romance,Aziz Ansari,"Ansari, Aziz",Eric Klinenberg,"=""1594206279""","=""9781594206276""",4,3.82,Penguin Press,Hardcover,279,2015,2015,2015/11/23,2015/11/07,non-fiction,non-fiction (#35),read,,,,1,,,0,,,,,
18693884,How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,"Ellenberg, Jordan",,"=""1594205221""","=""9781594205224""",4,3.96,Penguin Press,Hardcover,480,2014,2014,2016/05/26,2016/04/08,non-fiction,non-fiction (#38),read,,,,1,,,0,,,,,
8032112,The Big Short: Inside the Doomsday Machine,Michael   Lewis,"Lewis, Michael",,"=""0393338827""","=""9780393338829""",4,4.29,W. W. Norton & Company,Paperback,291,2011,2010,2016/02/09,2015/07/24,non-fiction,non-fiction (#33),read,,,,1,,,0,,,,,
52654714,Thinking Inside the Box: Adventures with Crosswords and the Puzzling People Who Can't Live Without Them,Adrienne Raphel,"Raphel, Adrienne",,"=""""","=""""",3,4.23,Penguin Press,Kindle Edition,304,2020,2020,2020/04/16,2020/03/30,non-fiction,non-fiction (#19),read,,,,1,,,0,,,,,
44000528,Range: Why Generalists Triumph in a Specialized World,David   Epstein,"Epstein, David",,"=""""","=""""",3,4.18,Riverhead Books,Kindle Edition,352,2019,2019,2019/08/29,2019/08/08,non-fiction,non-fiction (#11),read,,,,1,,,0,,,,,
45025308,She Said: Breaking the Sexual Harassment Story That Helped Ignite a Movement,Jodi Kantor,"Kantor, Jodi",Megan Twohey,"=""""","=""""",4,4.41,Penguin Press,Kindle Edition,320,2019,2019,2019/10/01,2019/09/15,non-fiction,non-fiction (#13),read,,,,1,,,0,,,,,
53011908,"Catch and Kill: Lies, Spies, and a Conspiracy to Protect Predators",Ronan Farrow,"Farrow, Ronan",,"=""0316486639""","=""9780316486637""",5,4.51,"Little, Brown and Company",Hardcover,448,2019,2019,,2019/10/29,non-fiction,non-fiction (#15),read,,,,1,,,0,,,,,
42973186,How to Do Nothing: Resisting the Attention Economy,Jenny Odell,"Odell, Jenny",,"=""""","=""""",4,3.87,Melville House,Kindle Edition,240,2019,2019,2019/09/25,2019/07/22,non-fiction,non-fiction (#9),read,,,,1,,,0,,,,,
36687335,"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",Katherine Boo,"Boo, Katherine",,"=""""","=""""",5,3.98,Random House,Kindle Edition,290,2012,2012,2019/05/27,2019/02/14,non-fiction,non-fiction (#1),read,"I admit I prejudged this book by its author: I wondered if a white person could do justice to the story of a Mumbai slum. After finishing, I’m thankful for the incredible efforts Katherine Boo took to explain this small part of the world. She covers thoroughly the persistent strife that comes with living in such poverty while narrating dramatic tales of how the slum came to be, why the slum dwellers were always at odds and what they did to survive. It’s a story informed by anthropology and virtually no topic is uncovered: religion, politics, economics, the criminal justice system and more.<br/><br/>My earlier concerns were assuaged after reading her author’s note detailing her reporting process at the end of the book. Plus, as an Indian, I appreciated the way she wove in particular turns of phrase and certain non-verbal cues that showed to me she understood the communication between the people she covered, despite not knowing the languages herself.<br/><br/>This particular slum comes right up to the perimeter of the airport in Bombay and I was always curious about it on childhood visits. I’m glad I finally got to learn more about it.",,,1,,,0,,,,,
20508,Kill the Messenger: How the CIA's Crack-Cocaine Controversy Destroyed Journalist Gary Webb,Nick Schou,"Schou, Nick",Charles Bowden,"=""1560259302""","=""9781560259305""",2,3.75,Nation Books,Paperback,233,2006,2006,2019/03/04,2019/02/17,non-fiction,non-fiction (#2),read,,,,1,,,0,,,,,
6265996,White Teeth,Zadie Smith,"Smith, Zadie",,"=""""","=""""",5,3.77,Vintage,ebook,464,,2000,2019/12/29,2019/11/18,fiction,fiction (#4),read,,,,1,,,0,,,,,
43457351,The Tenth Muse,Catherine Chung,"Chung, Catherine",,"=""""","=""""",4,4.05,Ecco,Kindle Edition,285,2019,2019,2019/09/15,2019/08/18,fiction,fiction (#2),read,,,,1,,,0,,,,,
38472277,Severance,Ling  Ma,"Ma, Ling",,"=""""","=""""",5,3.89,"Farrar, Straus and Giroux",Kindle Edition,304,2018,2018,2019/11/17,2019/11/02,fiction,fiction (#3),read,,,,1,,,0,,,,,
39979237,Moneyland: Why Thieves and Crooks Now Rule the World and How To Take It Back,Oliver Bullough,"Bullough, Oliver",,"=""""","=""""",0,4.21,Profile Books,Kindle Edition,304,2018,2018,,2020/04/12,to-read,to-read (#71),to-read,,,,0,,,0,,,,,
14276,"So Long, See You Tomorrow",William Maxwell,"Maxwell, William",,"=""""","=""9781860464188""",0,3.92,Harvill,Paperback,135,1998,1979,,2020/04/12,to-read,to-read (#70),to-read,,,,0,,,0,,,,,
34821824,Football's Secret Trade: How the Player Transfer Market was Infiltrated,Alex Duff,"Duff, Alex",Tariq Panja,"=""""","=""""",0,3.74,Wiley,Kindle Edition,227,2017,2016,,2020/04/12,to-read,to-read (#69),to-read,,,,0,,,0,,,,,
